uuid,modificationDate,entryDate,playDate,usesTeams,durationMin,ignored,manualWinner,rounds,bggId,importPlayId,locationRefId,gameRefId,rating,nemestatsId,scoringSetting,comments,board,playImages,bggLastSync,scoresheet
e4e0cd09-4bac-430e-88c3-ae9a8a12cdca,2021-01-18 15:03:05,2019-09-28 19:02:01,2015-11-25 10:00:00,false,120,false,false,0,0,0,1,69,0,0,0,Case 4: The Lionized Lions,,,,
2e2e74a7-eba1-42ad-91f1-e04ec577a698,2021-01-18 15:03:05,2019-09-28 18:59:45,2016-08-13 10:00:00,false,90,false,true,0,0,0,1,69,0,0,0,Case 1: The Munitions Magnate,,,,
3ae23eaa-5987-4a8e-bec2-eee9f4bce6e8,2021-01-18 15:03:05,2019-09-23 12:27:15,2017-01-05 10:00:00,false,10,false,true,3,0,0,1,1,0,0,0,,,,,
3c80bad8-9b50-4106-be5d-dfac6b1eabb4,2021-01-18 15:03:05,2019-11-03 12:37:15,2017-01-05 10:00:00,false,10,false,true,0,0,0,1,1,0,0,0,,,,,
e2e8712c-35ad-4491-9cfc-506921d40922,2021-01-18 15:03:05,2019-11-03 12:37:24,2017-01-05 10:00:00,false,10,false,true,0,0,0,1,1,0,0,0,,,,,
8649622a-6eab-42cf-a56c-dc9df4dba8a5,2021-01-18 15:03:05,2019-09-23 14:12:34,2017-01-12 10:00:00,false,7,false,true,0,0,0,1,1,0,0,0,"",,,,
84965426-cdad-4c7d-a738-16f064ce158a,2021-01-18 15:03:05,2019-11-03 12:38:43,2017-01-12 10:00:00,false,7,false,true,0,0,0,1,1,0,0,0,,,,,
a3481a2d-bca8-484e-adf6-89b9614f8227,2021-01-18 15:03:05,2019-11-03 12:38:47,2017-01-12 10:00:00,false,7,false,true,0,0,0,1,1,0,0,0,,,,,
d069e71a-0f15-4364-93c5-9ef389c19682,2021-01-18 15:03:05,2019-09-23 14:15:39,2017-01-15 10:00:00,false,60,false,true,1,0,0,1,2,0,0,0,,Year 5,,,
ea50e454-ccc6-46b4-9ddf-f06f8f70b684,2021-01-18 15:03:05,2019-09-23 21:59:11,2017-01-19 10:00:00,false,30,false,false,0,0,0,1,43,0,0,0,,,,,
